"usuario","genero","edad","indice_fidelidad"
"abc568888f8df1133b6c0bba8da6ec6c","Masculino",60,0.8
"75da7296a034bf6eafacbb69226a282b","Femenino",52,0.8
"06aa7a8f62e732af6cbda6597faa330d","Masculino",62,0.72
"8d87cdb9011a1a17797cee9440feda96","S/D",50,0.79
"d794183ed3e9d0164110e38a250960c9","Masculino",82,0.71
"19bdc00f084febfaf83ffb89144b9cc9","Femenino",48,0.79
"9cddc8b0e5699aa3be8071ef1160e4bf","Masculino",69,0.79
"07883ccaa26fd58560bbd15359dfb994","S/D",57,0.9
"93013a1f825451094c74babff9636ca1","Masculino",52,0.9
"7c6f566fc7f00f11bd682c9f9bb6b268","Masculino",55,0.7
"8271f3a67df21c33f03e8f20d9c1fba4","S/D",24,0.27
"d119d1aea10bcaedc11e00cfce8058f9","S/D",47,0.89
"175462c8554c8c204a5859c194fe0769","Masculino",40,0.27
"eec8db21c8832e15f1cd0ce8adbdfd2d","Masculino",85,0.67
"5e15aaed2428a3d5e83a0c782893d40d","Femenino",54,0.79
"fde3c16291af8c8313745da6f231f3cf","Masculino",46,0.67
"a1f8114e90c68b099df579d333999955","Masculino",48,0.67
"8259e5a0ee9305d9da1333636697db3f","Femenino",45,0.77
"93ed8ab35e4540b35df72c72407aa3df","Masculino",31,0.5
"bcdd110bf0de9f5bc746010ef4358902","Masculino",56,0.91
"4712f6d7c28963d75ef79a6294ccdc73","Femenino",33,0.91
"120ff9aa7cce59b1ac229ab3542e3d38","Femenino",52,0.85
"460beff6c0158af326be2594e6769830","S/D",71,0.85
"855d92fcc8bfd38eba9bc212be82b1f1","S/D",74,0.84
"cf9ad54bc9724bdc9bfb8f7720776e05","S/D",-7981,0.84
"4546f83b969291119a577f9c2d68c9ba","Femenino",42,0.85
"a1b7204059e371cdd17398dd0ee39a19","Masculino",49,0.83
"d0631741b70ebb8228e750d664bcb3d7","Masculino",22,0.71
"1885e7ff163a49d48c30cea96edc9685","Masculino",47,0.9
"d25c0efe92eb7f63795ab01947a5eb6e","Masculino",65,0.53
"85fc294a5243ffe2a04002b90e3359b4","Masculino",94,0.81
"a7a40f46803429fdf04baa838bd8b054","S/D",43,0.84
"43522ab8ec5dd19af32322ab13747696","Masculino",52,0.81
"e4d8b65f20fd0d8354d79313cc24b2ae","Masculino",65,0.73
"6342caaec68f9232927c15e3488b48d2","Masculino",44,0.81
"88582b774167f76def0cfed4b64ca8ec","Masculino",40,0.52
"a4bc883e2e4b881e3b29d3e6dd1f089f","Masculino",66,0.52
"b215f91c9cad1bc2d3145dd30bdd6fc3","Femenino",40,0.52
"989e4101ca747a79f9349180d4e0ab1a","Masculino",58,0.8
"22752b6931015166409895aacd524595","Masculino",71,0.8
"2626d6f8b15c4f72a2d0bda48bea3746","Masculino",64,0.51
"2e7b477a26a50d1e922a2153f54c3029","Masculino",75,0.05
"cede66b5e4301ce2915edabc7f5d6d0c","Masculino",62,0.51
"7443dda659587c1a52122517f0eb8f57","Masculino",80,0.7
"a914bc60dfa121e23f098826cb1ee631","Masculino",69,0.79
"da6687193a49560d8903bb37c336413d","S/D",66,0.9
"fe0534318a05e6d4b2df08b9c6411e88","Masculino",73,0.69
"eb6f6e00a2b066db48f390283d215d63","Masculino",81,0.89
"fbdbabbad71abb2315daf47f7b91a01f","Masculino",80,0.78
"8d9ea280943202009bd5be8613f8e338","S/D",76,0.78
"22a4c31cb86b3cb341f78538c473ed90","Masculino",82,0.77
"330238767a67bf829821ad9858612f84","Masculino",55,0.49
"798c1c3ae1aa3374c18dd568d258f2f2","S/D",60,0.91
"6ea03ba134f5457129d06bddc5079c64","Masculino",57,0.77
"2afce7f8d0604c9efcf2f75c5fa46bf6","Masculino",46,0.91
"0d73068caaec3d7659010c83f54091a3","Femenino",76,0.91
"d9f7d4e209e2493105070ba81af0d296","Masculino",66,0.76
"e7a2d86b8d7a0d52377ad4614acadf66","Masculino",41,0.91
"cd38c0c0688bb721a52ecb9ae82f022a","Masculino",66,0.63
"53f1b77dcb93895385d991f3fb85a2e2","Femenino",76,0.76
"ce3ea79615438ca8c2e4bc021f414e58","Masculino",50,0.63
"3620f6890da54062d821fba18bf87ae2","Masculino",52,0.91
"485458218eee30811d606828b176838e","Femenino",45,0.91
"60b3d73f50e3ce0ac175bd0e6b37a61d","Femenino",70,0.76
"74c7bdfff367ac212690b7c679ec735f","Masculino",65,0.91
"2a98fce1c775da83ae15bc2626ba6942","Femenino",57,0.9
"739efd02bcd59c4c4e4e9ba00ce4f086","Masculino",70,0.89
"bd86aff47cc4c9f5a1fa5dfe3dfdba78","Masculino",55,0.9
"670cf582ab48cdc8829384b39fae068a","Masculino",57,0.9
"22534eec0e43fd09ed14a832f117f4fa","Masculino",80,0.89
"87b9c73446040dd823fbe7a2e63cbb87","S/D",34,0.9
"d7d13c01882584165e142591be783074","Masculino",52,0.9
"a8dfd27511dc5dd34c233400a26fd35b","Masculino",34,0.9
"885de8bae222d271af19a08055b75734","S/D",53,0.9
"3564c06164dc1dd353a747abcfe58c0d","Femenino",52,0.9
"39b7f37a9c0696e0c9eb8bd45603b45e","S/D",42,0.9
"4eae55f1c1b3bda457d04d8ef4109129","Masculino",48,0.9
"22530f9e3449cf4b21b784178c3db853","Masculino",58,0.49
"12132240841d20c26ab0ae52425ab250","Masculino",68,0.9
"9dd0913af72378b8d24da9bf004b1403","Masculino",52,0.8
"d3b43884f6cd60fdea31391234b1cb2f","Femenino",51,0.9
"bd06de44efdad855e170bfdd31ffa8da","S/D",23,0.9
"b5515f06aef0006072c4c0addd56671c","Masculino",58,0.91
"76fcdb73b315674be3905763e3c06aa8","S/D",78,0.91
"bf7c5453e3b230e08098ed970fc295fd","Masculino",78,0.89
"e9a0e717a6c9853b1217696a8515d6c3","Masculino",47,0.91
"67882a7fdc68d3e361d87741f0ebd633","Femenino",55,0.91
"0ede573eb43512762fe34b3f916894d6","Masculino",64,0.91
"41f0b0a6fad4f434ecb427cee26fb05a","Masculino",74,0.91
"ec202f4adabfc1e54aeda215267e87ef","S/D",57,0.88
"37d0ac7f2866c0badeb8ad3c11393680","Femenino",47,0.38
"01747f18ccf3b4ce2514f26b88df7440","S/D",64,0.91
"945f66d5c2c1e6615a4031c998b79702","S/D",45,0.91
"c5305d7757eb9dd5d91bb8dfa0c9e33f","Masculino",67,0.91
"f4ce509fdf316366597ab919206915f5","Masculino",53,0.91
"a232ab837f0da72362058dd0e7570a1f","Masculino",66,0.79
"3ee75f84ab12b7cef2a17327a41954b2","Femenino",67,0.79
"f438a465dc80b359727519161fa8640f","Femenino",63,0.91
"bf2f66b0354d3b568d85e94badecc96e","Femenino",80,0.91
"2483ca2fe5cc1ec18ac4b6a90e7f2e58","Femenino",64,0.91
"c0beee803e3d7de39d08776e1b89b636","Masculino",75,0.91
"9ee44d6a69796aab5e406a8a4ea63652","Masculino",75,0.91
"d9af8baf96a6dab82a6abdf7a07d475c","S/D",43,0.87
"c65b6460a46e7db4f031dfb5ff17714b","Femenino",54,0.91
"d089e38706c9a2c295e3574444ee6292","S/D",53,0.91
"52b8f761121c020ad14602d5464c114c","Femenino",71,0.91
"e2257de843d0d9fe3063f4c9f27b8b3f","Masculino",75,0.91
"776d6c0fe115115e0bbcdd9ac83e37a1","Masculino",81,0.91
"86707e795ab9653256c31ddcfff2f242","Masculino",59,0.91
"1a5652944ec733b230de35fc735e9d19","S/D",36,0.9
"41daf5067c194010d29ac4c249e1d410","Femenino",64,0.9
"badf3b024230e9578136b11685063feb","Masculino",50,0.9
"923ac3b283e0bcd246f9c87a68c7443d","Femenino",66,0.9
"ead8cd3aab0e826a0636c3a6350092d3","S/D",73,0.9
"94155560eba1cdaac671c8a6993196c0","Masculino",79,0.9
"3aec712df34e2708ff6623a07e6a3e55","Masculino",37,0.9
"58642815bf4d6ef37f6c898a2f0c6e59","Masculino",70,0.9
"33d51a606d0a6e1d11fa9b7bd65f6df9","Masculino",39,0.9
"8c84801590ac77d8aae03f58479402e0","Masculino",71,0.9
"6458419634c2ff2634d6308013aca426","S/D",60,0.9
"c1f90c8a8706d2848349cd692095758c","Masculino",57,0.9
"78cc9174d6b599fffc7a42c9e4629e91","Femenino",82,0.9
"47745526900406c9614c7e19f6b3065e","Masculino",53,0.9
"1106019e40340341a7ff9ca5bdd8d824","Masculino",58,0.9
"a92ba6195569bd6a672330543925454d","Femenino",76,0.9
"827b68659dc104123d912fccb25d2eb5","Masculino",35,0.9
"5b2a0d1c35463e534017cacc27342dab","Masculino",60,0.32
"e230454b6d3d97df250be3d7272bb1c8","Femenino",58,0.9
"617ca9926937d57f22d6b9f57ef5dc1a","Femenino",78,0.9
"53b566a59859b249b631ff8560457121","S/D",66,0.9
"18a363a81b3d0360c802e83ff1101184","Masculino",74,0.9
"d95cea8897e1781b15ff6618b0c0536c","S/D",52,0.9
"d3b4fa0693eb309c2e29216ab0402c1f","Femenino",54,0.9
"87c76b87fab726147a45ae4e33a46063","Masculino",37,0.9
"39f90b31fe9a1827f5adfd953aece04c","S/D",57,0.75
"5502702e42ac2ed8cc9849d85880639d","Femenino",89,0.9
"54cca6f26f9d701b98b77226f0dc7f93","Masculino",47,0.9
"35adb252f17ae01ef7977992c7d47b4a","Masculino",61,0.9
"005deda978b4678f687eeb54fe0b5749","Masculino",72,0.9
"c731dcf1765777542e305964e3c7ddcc","S/D",71,0.85
"086e2a8707f645ddb28626e723e836f4","Masculino",74,0.75
"2a2f0ad73a201a8133d953485a56f1c6","Femenino",72,0.9
"11b9bbb8b52156b64cf7931846181a03","Femenino",53,0.9
"051fd82f51c03619e425fe2650591986","Masculino",60,0.89
"20192905336ebf9a7d03a19ba3fde46a","S/D",70,0.89
"c4620dbe745584fd776713794460f2c5","Femenino",45,0.89
"74e0d0a7455ae0ddf9d789742722c0d5","Masculino",60,0.89
"9dacc30a074e40daf1da2d3f74c5af5e","Masculino",65,0.89
"17490df9c00dcbf9919a6273875bb9de","Masculino",78,0.85
"73bfd1bdcac799ea657aafb1caa1c02e","Masculino",53,0.89
"a955ff754087d7a2387a12a96c4b471a","Femenino",70,0.89
"0123553ab1d0fd26eb5f889aca40154a","Masculino",70,0.89
"e1c225cd978feefb16a09fef05eaf700","Masculino",67,0.89
"e5b3b67c56ccc84547f220c22c2b2dd0","Femenino",87,0.89
"310e47bba52e9b44e743444fbfc78935","Masculino",52,0.89
"fffa978e207cd47468fd77d90b67bff2","Masculino",57,0.89
"9c4310228601e55a600fe7d172ed0aca","Masculino",43,0.89
"c91fc7eff556fdac8210496e91ec6c5b","Femenino",45,0.89
"1620bbdab3531431c9565ad4e7e0359c","Masculino",75,0.89
"efa3a8e3d935628498770832da6fff3c","Masculino",45,0.89
"f2aedbcb67a1687a1df15344acc36044","S/D",61,0.89
"cc245e333f60c07d6d269655d4e82008","Femenino",72,0.88
"83a82fe80f51bf8e796244008361f98d","Femenino",55,0.28
"1f128f20cc3d70867d9b2a3baf86c791","Masculino",61,0.88
"781aa59c18ff1a09067e2eed0eee7915","Masculino",56,0.88
"927f117885aa9c161196406849c328e6","Masculino",57,0.89
"626922913f035b47da042164c8388253","Masculino",63,0.89
"e440400ffdc81742e428517800559afe","Femenino",77,0.88
"e0e705237b1d269617280bdb56d40528","Femenino",68,0.88
"3c1272faa41d452fe16778cfbc1dc235","Masculino",82,0.76
"29cdad7bb1387996bec22d40edb3f7be","Masculino",82,0.91
"c9f0c471d02d8ce6ed7c25991c64f8ec","Femenino",87,0.76
"dfb392d6336b9a80cfac85bd75641ef7","Masculino",51,0.91
"8c9bf098b35e73e95737eac2db707209","Femenino",33,0.63
"a9fbd70da86047839621f7bbd93c527a","Masculino",43,0.91
"a2d8cfc392f1db6991cecb6420201ddb","S/D",68,0.91
"cbc9bc7b8fa0fb0fa061bd9428ee144f","S/D",61,0.91
"4f397249274d3a2fd44f3e3e14915366","Masculino",54,0.91
"c2e3164b52ff95dd09f45aca9713d460","Masculino",71,0.91
"c4112a902df73c091e330cd6cfee4531","Masculino",41,0.91
"a204d19956c8772fda39542bec1db014","Masculino",43,0.9
"20b1a67c709d096f840b1f9ca987f9db","Femenino",66,0.9
"8c5e34be6aa61820023eace2bd49c432","Masculino",34,0.9
"a854cce3d2a489a32d2f58fb5b2bdf34","Masculino",53,0.9
"2417108c591b64ed4f5cd6472ad9c3d6","Masculino",33,0.47
"6c7a074f7f7b04ef0747e1335cc65371","Masculino",77,0.9
"2f806016961fcbdcf3cdb82ccc14ae84","Femenino",42,0.89
"16eeb2d0eef142a9e67a600620a5a235","Masculino",71,0.6
"b77758fef45d3b37c0935c27060e35fc","Masculino",53,0.9
"ce5451ed3092c6a8690741ea1ed08412","Femenino",55,0.9
"997fc0b275343a03a19f8967ae6b2e03","Masculino",35,0.9
"b9732a978ca787c79d1ba5bc4a5ba428","Masculino",43,0.08
"95b47332b62f1d3bfb42b006aeab548e","S/D",77,0.9
"e19cf039cc78b941cfa2d73c4920a4a5","S/D",42,0.8
"0efbcc92f1fcd37ec0b76d9b4c44acf9","Masculino",47,0.59
"6ceed98ef61e81c3ea75f92a5b2eabca","Masculino",62,0.91
"584bf3ea03f4cc67f203bbac6090df95","Masculino",58,0.66
"698ee807ede36d6490403a5e05d90254","Femenino",66,0.58
"345f346309dbad6e363526ecda4a9b5d","Masculino",81,0.88
"d205a64c2ea8644f24413f29c207bb26","Femenino",79,0.75
"eb71fd2ba91fe5e32918303c58afe8c0","Masculino",45,0.88
"4b91fe613199a7a6ede44cbcd6ffd05f","Masculino",46,0.91
"bd2bcbfe2b4bcbc979043ffd441e87f4","Masculino",73,0.91
"ca12fec483d75dca1968fa4d86b050c8","Masculino",73,0.79
"3f510accbd076537de83a53ca9ca30ce","Masculino",81,0.79
"2a12d4ad74f4d09308296e781090959d","Masculino",67,0.91
"f40e9fa5f40cfdcc759db5b835d90027","Masculino",52,0.91
"ff2ac90df2f4720a10fde228fc46f676","Masculino",47,0.91
"08c4b91b3447e3247cf7bf065ebeb79f","Masculino",71,0.91
"fa57b64b2eeec4d1fcdd5b3e81329016","Masculino",59,0.91
"e53ed42fb0c77cef585f201bf01fcf8c","Femenino",78,0.91
"3d7240e6819fcd97f3ac79aa953ebf5c","Masculino",47,0.91
"89269a987c012b0f0aed76a0c827d93d","Masculino",61,0.91
"07606b94a895085883b5d0b7c26d7c56","Femenino",63,0.91
"f4f7b4f4d6c4bb94241910ccfeeba428","Masculino",68,0.91
"733bd2413cc637aa3e889728507a3f13","Masculino",57,0.91
"acce07f0f085bf6185fd6b39f95aec10","Masculino",61,0.91
"c0aa06e858a4894c38068766550578ba","Masculino",54,0.9
"a09570677700c1153dcf47e48f7fc01b","Masculino",67,0.9
"4fbbaa4112b16b7d3681d1718f626068","Femenino",44,0.87
"d9e1123beab27bf5bd8508cc7d98e36f","Masculino",67,0.9
"0253c4f407d9b515761da96d41ca3d28","Masculino",64,0.9
"1eb78115da3255ac2fe01b55bde8d6eb","Femenino",70,0.86
"95f6e2f6175bf15c031f17f6d5f613d3","Femenino",83,0.9
"763fd9f29dd1a74c1efb05c8be9e7f89","Masculino",62,0.9
"6519851b09841cb0b28acdc7b82fc513","S/D",53,0.9
"888f994552b240c05d51b3bf1a285fcc","Masculino",74,0.9
"15267dbe3f98862963b8168df719f5e8","Femenino",64,0.9
"c46603a9159b62cd6ac99648278a6441","Femenino",37,0.9
"268084a6095d9c04847e5869dfa464ca","Masculino",45,0.9
"0c9ede308f32d182233b32eb608fd61c","Femenino",62,0.9
"437b94c48078e56e8a18b86bf1463991","Femenino",64,0.9
"7d29f5d041748ba959656406d55fc336","S/D",41,0.9
"8adccf794be72c6162ba0ab28c4cf6bb","Masculino",68,0.9
"8d902f655827d88c80c061202239a47b","Masculino",49,0.9
"9d131e0b22dc026e1127f5526d12122f","Masculino",62,0.9
"972ed48eeddf3c31fcf5be68e5412988","Masculino",77,0.9
"50795d6740f13ad41b46ca5feae2f29a","Masculino",77,0.9
"7c5c6fc4b32000a7193f055384a858d5","Femenino",60,0.9
"19959cdcfa22d2a20d820e89bb3b5783","S/D",93,0.32
"4d74ea28c4c225d52c6883183f3d30cc","Femenino",35,0.9
"b9c90a89c318e8168d24609649e249f6","Femenino",48,0.9
"83b27b46f23e0e9a424fb58299174ef4","Femenino",72,0.9
"67850cd8cf4dfc4c1c296c50e940df75","Masculino",50,0.9
"997a07d1a6a60fb253d988f2582c0cc6","Masculino",61,0.9
"af603bb47b2e5b00a5e051c0b5155608","Masculino",66,0.9
"2d544780d3823ae83e9540ce09cb1b61","Femenino",71,0.9
"338e16f810d201edad27a1bbb6cefd5f","Masculino",70,0.9
"943a1ca71a776f6a804b8ab06793fdd0","Masculino",67,0.31
"6fcfb745c55636b58233087a4f7440e6","Femenino",57,0.9
"a9e831cda1498849c16e5ee74c5c3a46","Femenino",62,0.9
"b6ace5b7cc8a6195d1de29c9afcfa6e8","Masculino",80,0.9
"9908e8f534cb97708352edffb3822188","Masculino",51,0.89
"4452c08789b86d0aa6c377d35d7206de","S/D",74,0.89
"58314f402f3ea16bc420270209c4a366","Femenino",49,0.89
"87d3d53540664c3c1e074c14dbc592db","Masculino",31,0.34
"56ddce1f2dfe13a78d35744025ee0d83","Femenino",68,0.89
"393a310538017e22797f9e4902561299","Masculino",48,0.89
"dd13b442e9be68dd0c4ca7d7cc3a9f19","Femenino",51,0.33
"a0c34191a90bdd160e6a44d89c9bcc38","Masculino",75,0.89
"dedce81619666e0b8be8b447d6185607","Femenino",69,0.89
"58b84a83c4b8550331cb67ab33ad743a","Femenino",56,0.28
"c1fdba9486d5f4f1311bdbaa4b3f0567","Masculino",72,0.88
"dcd6f628755f02e10119593e2977506d","Masculino",88,0.89
"12340df165c31cdd60319eed3beebb7c","Masculino",58,0.88
"cfe8c8675367929df6d89d041110b9b9","Masculino",72,0.19
"331cb70cef752e3686325d434f665a5a","Masculino",73,0.74
"2f8ad7c10e7ecf70cc5d111025d911d4","Femenino",70,0.88
"3ba281e51695029b2df31ca669191ae8","Masculino",83,0.88
"48dca3424c665097475413d8ab880185","Masculino",13,0.89
"aaa7f1aff6bbbb122fbe2c18eeaf4148","Masculino",44,0.89
"bcff99b45ded69788918e4734c0a0ec1","Masculino",47,0.91
"a783f3de73aae8b95e014cf72d9c5608","Masculino",65,0.91
"7276fa1ac439116f0ff786bb675d2295","Masculino",75,0.91
"a866411d81b0e2b19a158893fb257271","S/D",59,0.91
"ac9442a12455b724f68a25257560dcad","S/D",67,0.91
"017245f570a46c097f8bd963eeb5bec8","Masculino",44,0.91
"78b1ff3b43153db6970bb25b39cc166d","Masculino",60,0.91
"204272c41645afd7d2c9dc06da9e5911","Masculino",49,0.63
"0b9109e779e96684b3a4b0a12fbcc48a","Femenino",74,0.91
"a0182b0336c6f4f1ba88ae7a106594ad","Masculino",53,0.91
"0400a59e038c66e2540301643f7121f1","S/D",79,0.91
"ce5f171271d342be2f1dd9db4f31927b","S/D",60,0.91
"969eb4b62c0cb8467b3001e3a39f2480","Masculino",62,0.61
"e11ecf20c3f26c7b2a550fac8d848519","Masculino",46,0.9
"3357ff5f986e4334ebeda86b5b80a8b7","Masculino",37,0.9
"f5ee1d93ec056547902b3fb45c9a96c5","Femenino",77,0.61
"bf34c60bd1bf2018b58da2e1b2b0df1d","Masculino",38,0.67
"8244dccef6b92f8609db703c7fdf5e53","Masculino",62,0.67
"dfb16644ad071d932bde2211f86d6d08","S/D",25,0.9
"1a8da1b5ca5b2507fe3c6456a55b0549","Femenino",49,0.9
"a5ab99c91b70a3c387ca54cdb8bd2c37","Masculino",50,0.9
"baf3e1b603ef8d3c0bb21c7c43dbbd6b","Masculino",58,0.9
"443eaa93fa98520a6c028760dc9f337e","S/D",72,0.25
"dd9a5eb89bcd084cd9f3fa480fae0746","Masculino",73,0.9
"4ff7e3db8dcb615df4cc8d97f9144414","Masculino",53,0.06
"1a1fcfcc220ff39054653f26e64ae0a7","S/D",37,0.91
"ef3f22921696b107609b4455fc6e1059","Femenino",40,0.91
"a0bec6afcf1cedd828dba943783b4e94","Femenino",68,0.91
"ef0d729ff7b8a09f6a729d64c5441017","S/D",52,0.58
"127bdfb9f4b9169d96970703a4d0727f","Masculino",43,0.91
"085304669a5c646edfd7541cf9aae489","Femenino",65,0.88
"027dedfa00be99702859f894fa671947","Femenino",48,0.91
"76d3354612afc82522655c2be0c3091c","Masculino",48,0.91
"70706587c4ab2c3be3bab716c9b25da6","S/D",67,0.91
"0b1b5b8466ff8fdb19b25d55e73234d5","Femenino",35,0.91
"13afb6e324a335b2f4cdb6704f2c9a10","Femenino",77,0.91
"dc04a36fd297d7719bb577a75a92e470","S/D",63,0.91
"a036e75f7dfdeb7dca824db26f59db20","Masculino",82,0.91
"4eb491ed5bbe206010a9fa6458df5296","Masculino",48,0.87
"fc3cf6397d0c99fe442f75866315f1b8","Femenino",65,0.91
"0666cbecab9483a8e18dc39a31ce65ff","Femenino",50,0.91
"13d4d164c2f2a544d69d7e9810eaee68","Masculino",84,0.91
"10c894acf7115a25ee7d0f9318f558e5","Femenino",71,0.91
"60c5a57af239ae88db41f63785b43ce3","Masculino",50,0.91
"d787f8bc7b29ecfd9af2b58ded30cf3a","Masculino",60,0.91
"068fd6361fdff4e2eeef3a0c1de2ef84","Masculino",75,0.91
"c6f3f316d9fc15bad08fcae9d08b76b3","S/D",57,0.91
"76ef2225ce0a760b88767e9958c2cf66","Femenino",58,0.9
"1d3911791a3bf40a47391dc7a274dfba","Masculino",83,0.9
"bf00f576dc0c37ac59c9cf087b267218","Masculino",66,0.9
"8827d9199c78c1b87141f49958deab60","Masculino",52,0.9
"3ca8afa1e6bfc4f763c8f79ac8686421","S/D",46,0.9
"93c7f1240e15f3dabddcc0010fc6282b","Masculino",70,0.9
"1a353a501462ab599a144a76df4b5a43","Masculino",88,0.9
"1580ddb13357166b742c87671547788b","Femenino",78,0.9
"343f7b06c2751f76b61e2d3895c3f556","Femenino",61,0.9
"dfc7566fb8b9625ab0d20f727ef88b77","Femenino",60,0.9
"c318dcf264f1031dfb08189a31f4972c","Femenino",54,0.9
"c45cf12f913b1a992b4061f1baaaae8f","Masculino",52,0.32
"20a7970925c81d6da2574c0b96815b8c","Masculino",71,0.9
"af8ce357dcd4150e5e0e3863236095b8","Masculino",54,0.9
